No_Faktur,Bulan_Pembelian,Nama_Mobil,Wilayah,Gender_Pembeli,Pekerjaan_Pembeli,Umur_Pembeli,Pendapatan_Bulanan_Juta
INV/2026/00001,November,Honda HR-V,Sumatera Utara (Medan),Pria,Professional (Dokter/Pengacara),60,33.2
INV/2026/00002,Februari,Toyota Innova Zenix,Jawa Tengah (Semarang),Wanita,Pengusaha,50,19.8
INV/2026/00003,Januari,Toyota Avanza,Sumatera Utara (Medan),Wanita,BUMN,36,29.1
INV/2026/00004,Desember,Toyota Innova Zenix,Jawa Timur (Surabaya),Wanita,PNS,64,4.0
INV/2026/00005,Mei,Toyota Rush,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),29,24.5
INV/2026/00006,April,Toyota Rush,Sulawesi Selatan (Makassar),Pria,Pengusaha,42,12.3
INV/2026/00007,April,Daihatsu Sigra,Sulawesi Selatan (Makassar),Pria,Professional (Dokter/Pengacara),60,12.1
INV/2026/00008,Maret,Mitsubishi Xpander,Jawa Timur (Surabaya),Wanita,BUMN,40,16.0
INV/2026/00009,Desember,Toyota Avanza,Jawa Tengah (Semarang),Pria,Karyawan Swasta,44,6.6
INV/2026/00010,Februari,Honda HR-V,Sumatera Utara (Medan),Pria,Rumah Tangga,32,21.5
INV/2026/00011,November,Toyota Avanza,Jawa Timur (Surabaya),Wanita,Karyawan Swasta,32,19.5
INV/2026/00012,Desember,Honda HR-V,Sumatera Utara (Medan),Pria,Karyawan Swasta,45,20.1
INV/2026/00013,September,Honda HR-V,Jawa Tengah (Semarang),Wanita,BUMN,57,25.1
INV/2026/00014,Februari,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Wanita,Pengusaha,61,30.1
INV/2026/00015,Oktober,Mitsubishi Xpander,Sumatera Utara (Medan),Pria,Pengusaha,45,15.1
INV/2026/00016,Juli,Honda HR-V,Sumatera Utara (Medan),Pria,Professional (Dokter/Pengacara),24,21.8
INV/2026/00017,Januari,Toyota Innova Zenix,Sulawesi Selatan (Makassar),Wanita,Karyawan Swasta,43,20.3
INV/2026/00018,Januari,Toyota Innova Zenix,Jawa Timur (Surabaya),Wanita,Pengusaha,23,21.0
INV/2026/00019,Februari,Mitsubishi Xpander,Jawa Barat (Bandung),Wanita,Professional (Dokter/Pengacara),45,21.1
INV/2026/00020,April,Toyota Avanza,Sumatera Utara (Medan),Wanita,Professional (Dokter/Pengacara),51,30.7
INV/2026/00021,April,Honda Brio,DKI Jakarta,Wanita,BUMN,59,14.3
INV/2026/00022,September,Daihatsu Sigra,DKI Jakarta,Pria,Rumah Tangga,23,5.8
INV/2026/00023,Oktober,Daihatsu Sigra,Jawa Timur (Surabaya),Pria,Karyawan Swasta,42,12.4
INV/2026/00024,Januari,Toyota Innova Zenix,Sumatera Utara (Medan),Wanita,Karyawan Swasta,54,24.1
INV/2026/00025,September,Mitsubishi Xpander,Sumatera Utara (Medan),Wanita,Rumah Tangga,33,18.2
INV/2026/00026,April,Toyota Avanza,Jawa Barat (Bandung),Pria,BUMN,43,14.3
INV/2026/00027,Desember,Toyota Rush,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),46,9.4
INV/2026/00028,November,Toyota Avanza,Jawa Barat (Bandung),Pria,Rumah Tangga,48,19.8
INV/2026/00029,Desember,Toyota Innova Zenix,DKI Jakarta,Pria,Pengusaha,63,23.2
INV/2026/00030,September,Toyota Innova Zenix,DKI Jakarta,Pria,Pengusaha,49,20.4
INV/2026/00031,Juli,Honda Brio,Jawa Tengah (Semarang),Pria,Rumah Tangga,37,16.0
INV/2026/00032,April,Honda HR-V,DKI Jakarta,Wanita,Pengusaha,36,19.2
INV/2026/00033,Agustus,Daihatsu Sigra,DKI Jakarta,Pria,Pengusaha,24,19.1
INV/2026/00034,Oktober,Daihatsu Sigra,Sumatera Utara (Medan),Pria,PNS,58,19.5
INV/2026/00035,Mei,Daihatsu Sigra,Jawa Tengah (Semarang),Pria,Karyawan Swasta,28,8.5
INV/2026/00036,Januari,Toyota Innova Zenix,DKI Jakarta,Pria,Karyawan Swasta,42,19.6
INV/2026/00037,Maret,Honda Brio,Jawa Barat (Bandung),Wanita,PNS,30,14.5
INV/2026/00038,Desember,Honda HR-V,Sumatera Utara (Medan),Wanita,Karyawan Swasta,60,26.3
INV/2026/00039,Juli,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Pria,BUMN,39,19.1
INV/2026/00040,Juni,Toyota Innova Zenix,Jawa Tengah (Semarang),Wanita,Professional (Dokter/Pengacara),25,24.7
INV/2026/00041,Mei,Honda Brio,Jawa Timur (Surabaya),Pria,Karyawan Swasta,46,15.6
INV/2026/00042,Maret,Toyota Innova Zenix,Jawa Barat (Bandung),Wanita,PNS,35,15.9
INV/2026/00043,April,Toyota Rush,Jawa Timur (Surabaya),Pria,Rumah Tangga,30,30.0
INV/2026/00044,Juni,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Wanita,BUMN,47,21.5
INV/2026/00045,Februari,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Wanita,Professional (Dokter/Pengacara),23,12.3
INV/2026/00046,Februari,Toyota Rush,DKI Jakarta,Wanita,Pengusaha,41,25.2
INV/2026/00047,Juli,Honda Brio,DKI Jakarta,Pria,Karyawan Swasta,49,13.7
INV/2026/00048,Februari,Toyota Avanza,Jawa Tengah (Semarang),Pria,PNS,28,19.8
INV/2026/00049,Juni,Mitsubishi Xpander,Sulawesi Selatan (Makassar),Pria,Pengusaha,29,32.7
INV/2026/00050,Juni,Mitsubishi Xpander,Sumatera Utara (Medan),Pria,BUMN,56,6.5
INV/2026/00051,Oktober,Honda HR-V,Sumatera Utara (Medan),Wanita,Karyawan Swasta,35,16.6
INV/2026/00052,Mei,Mitsubishi Xpander,Jawa Barat (Bandung),Wanita,Karyawan Swasta,38,21.3
INV/2026/00053,Januari,Mitsubishi Xpander,Jawa Timur (Surabaya),Wanita,PNS,57,24.1
INV/2026/00054,Desember,Honda HR-V,Jawa Tengah (Semarang),Pria,BUMN,61,8.1
INV/2026/00055,Agustus,Toyota Avanza,Sumatera Utara (Medan),Wanita,BUMN,25,5.7
INV/2026/00056,September,Daihatsu Sigra,Sumatera Utara (Medan),Pria,Rumah Tangga,23,26.7
INV/2026/00057,Februari,Daihatsu Sigra,Sulawesi Selatan (Makassar),Pria,Rumah Tangga,27,12.2
INV/2026/00058,Juli,Mitsubishi Xpander,Jawa Timur (Surabaya),Wanita,Pengusaha,63,11.9
INV/2026/00059,Februari,Toyota Avanza,Sulawesi Selatan (Makassar),Wanita,Karyawan Swasta,25,30.4
INV/2026/00060,September,Toyota Innova Zenix,Jawa Timur (Surabaya),Pria,Professional (Dokter/Pengacara),50,18.6
INV/2026/00061,Mei,Honda HR-V,Sulawesi Selatan (Makassar),Wanita,Rumah Tangga,39,18.6
INV/2026/00062,November,Honda HR-V,Sulawesi Selatan (Makassar),Pria,PNS,47,16.6
INV/2026/00063,Oktober,Toyota Rush,DKI Jakarta,Pria,BUMN,55,8.2
INV/2026/00064,Juni,Toyota Avanza,DKI Jakarta,Wanita,Pengusaha,31,23.4
INV/2026/00065,Oktober,Honda Brio,Sumatera Utara (Medan),Pria,Rumah Tangga,57,21.3
INV/2026/00066,April,Honda HR-V,DKI Jakarta,Pria,Rumah Tangga,35,19.3
INV/2026/00067,Desember,Toyota Innova Zenix,Sumatera Utara (Medan),Pria,Rumah Tangga,52,17.1
INV/2026/00068,Februari,Toyota Rush,Sumatera Utara (Medan),Pria,Karyawan Swasta,36,15.7
INV/2026/00069,Januari,Daihatsu Sigra,Jawa Timur (Surabaya),Wanita,Professional (Dokter/Pengacara),29,25.3
INV/2026/00070,November,Daihatsu Sigra,Sumatera Utara (Medan),Pria,Pengusaha,35,16.9
INV/2026/00071,April,Toyota Avanza,Sumatera Utara (Medan),Wanita,Professional (Dokter/Pengacara),44,17.5
INV/2026/00072,Mei,Daihatsu Sigra,Sumatera Utara (Medan),Pria,PNS,61,22.2
INV/2026/00073,Februari,Toyota Avanza,DKI Jakarta,Wanita,Karyawan Swasta,42,19.7
INV/2026/00074,April,Honda HR-V,DKI Jakarta,Wanita,Karyawan Swasta,37,31.1
INV/2026/00075,Februari,Toyota Avanza,Jawa Barat (Bandung),Wanita,BUMN,39,4.0
INV/2026/00076,Juli,Honda HR-V,Sulawesi Selatan (Makassar),Wanita,BUMN,45,20.4
INV/2026/00077,Mei,Toyota Rush,Jawa Tengah (Semarang),Pria,Pengusaha,47,12.4
INV/2026/00078,Agustus,Toyota Avanza,Jawa Timur (Surabaya),Pria,BUMN,46,10.5
INV/2026/00079,November,Toyota Avanza,Jawa Tengah (Semarang),Wanita,PNS,62,14.3
